FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF5,Basilicata,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,843877,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF5,Basilicata,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,6474507,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF5,Basilicata,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,7318384,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF6,Calabria,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2171111,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF6,Calabria,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,10256454,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF6,Calabria,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,12427565,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITG1,Sicilia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5087009,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITG1,Sicilia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,29833050,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITG1,Sicilia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,34920060,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITG2,Sardegna,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2432711,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITG2,Sardegna,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,17516024,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITG2,Sardegna,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,19948735,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,WORLD,Mondo,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,241674,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,WORLD,Mondo,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,14077541,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,WORLD,Mondo,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,14319215,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,WRL_X_ITA,Paesi esteri,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,92355,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,WRL_X_ITA,Paesi esteri,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,4345098,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,WRL_X_ITA,Paesi esteri,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,4437453,,
